,ts_code,symbol,name,area,industry,list_date,open,close,change,vol,amount
80,000411.SZ,000411,英特集团,浙江,医药商业,19960716,12.48,12.43,-0.1,64178.1,78896.444
81,000413.SZ,000413,东旭光电,河北,元器件,19960925,1.69,1.71,0.03,239145.5,40793.024
82,000415.SZ,000415,渤海租赁,新疆,多元金融,19960716,2.17,2.2,0.1,692435.36,152461.296
83,000416.SZ,000416,*ST民控,山东,多元金融,19960719,2.5,2.47,-0.06,715600.95,176868.205
84,000417.SZ,000417,合肥百货,安徽,百货,19960812,4.71,4.88,0.17,172486.19,83175.588
85,000419.SZ,000419,通程控股,湖南,百货,19960816,5.41,5.52,0.14,72325.0,39643.182
86,000420.SZ,000420,吉林化纤,吉林,化纤,19960802,3.8,3.92,0.13,199627.85,77200.463
87,000421.SZ,000421,南京公用,江苏,供气供热,19960806,4.88,4.89,0.01,63020.67,30519.715
88,000422.SZ,000422,湖北宜化,湖北,农药化肥,19960815,12.29,12.45,0.16,69348.12,86167.024
89,000423.SZ,000423,东阿阿胶,山东,中成药,19960729,51.36,51.47,0.07,48494.14,248597.766
90,000425.SZ,000425,徐工机械,江苏,工程机械,19960828,6.66,6.86,0.19,501474.04,338643.325
91,000426.SZ,000426,兴业矿业,内蒙,铅锌,19960828,8.7,8.72,-0.02,156276.5,136105.609
92,000428.SZ,000428,华天酒店,湖南,酒店餐饮,19960808,4.7,4.88,0.1,218380.53,105123.308
93,000429.SZ,000429,粤高速A,广东,路桥,19980220,7.68,7.76,0.05,81942.21,63510.717
94,000430.SZ,000430,张家界,湖南,旅游景点,19960829,7.88,8.14,0.19,112301.43,90365.769
95,000488.SZ,000488,晨鸣纸业,山东,造纸,20001120,4.96,5.03,0.05,73028.51,36683.124
96,000498.SZ,000498,山东路桥,山东,建筑工程,19970609,7.52,7.75,0.24,220812.4,168081.133
97,000501.SZ,000501,武商集团,湖北,百货,19921120,11.11,11.38,0.34,86674.38,97657.696
98,000503.SZ,000503,国新健康,山东,软件服务,19921130,10.52,10.73,0.21,128811.86,136943.329
99,000504.SZ,000504,南华生物,湖南,医疗保健,19921208,12.22,12.33,0.11,42391.3,51820.585
